"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"S Dhawan","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"DW Steyn","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"MC Henriques","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"KV Sharma","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"NV Ojha","Keeper","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"DA Warner","Captain","Sunrisers Hyderabad","Royal Challengers Bangalore","0","3","Sunrisers Hyderabad"
"EJG Morgan","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"Bipul Sharma","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"B Kumar","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"KL Rahul","Player","Sunrisers Hyderabad","Royal Challengers Bangalore","0","0","Sunrisers Hyderabad"
"BB McCullum","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"MEK Hussey","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"MS Dhoni","CaptainKeeper","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"SK Raina","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"RA Jadeja","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"DJ Bravo","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"A Nehra","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"R Ashwin","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"F du Plessis","Player","Chennai Super Kings","Kings XI Punjab","0","0","Kings XI Punjab"
"P Negi","Player","Chennai Super Kings","Kings XI Punjab","1","0","Kings XI Punjab"
