Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
YK Pathan,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
G Gambhir,Captain,Kolkata Knight Riders,Kings XI Punjab,TRUE,3,Kings XI Punjab,
B Lee,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
MK Tiwary,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
R Bhatia,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
DB Das,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
L Balaji,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
MS Bisla,Keeper,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
SP Narine,Player,Kolkata Knight Riders,Kings XI Punjab,FALSE,0,Kings XI Punjab,
IK Pathan,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
V Sehwag,Captain,Delhi Daredevils,Deccan Chargers,FALSE,3,Deccan Chargers,
Y Venugopal Rao,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
DPMD Jayawardene,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
NV Ojha,Keeper,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
DA Warner,Player,Delhi Daredevils,Deccan Chargers,TRUE,0,Deccan Chargers,
M Morkel,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
Y Nagar,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
S Nadeem,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
VR Aaron,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
AD Russell,Player,Delhi Daredevils,Deccan Chargers,FALSE,0,Deccan Chargers,
CL White,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
PA Patel,Keeper,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
KC Sangakkara,Captain,Deccan Chargers,Delhi Daredevils,FALSE,4,Deccan Chargers,
S Dhawan,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
MS Gony,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
A Mishra,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
JP Duminy,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
DJ Harris,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
Ankit Sharma,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
A Ashish Reddy,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
TP Sudhindra,Player,Deccan Chargers,Delhi Daredevils,FALSE,1,Deccan Chargers,
MS Dhoni,CaptainKeeper,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
SK Raina,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
S Badrinath,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
RA Jadeja,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
WP Saha,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
DJ Bravo,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
SB Jakati,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
R Ashwin,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
DE Bollinger,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
F du Plessis,Player,Chennai Super Kings,Pune Warriors,FALSE,1,Chennai Super Kings,
KMDN Kulasekara,Player,Chennai Super Kings,Pune Warriors,TRUE,1,Chennai Super Kings,
SC Ganguly,Captain,Pune Warriors,Chennai Super Kings,FALSE,3,Chennai Super Kings,
RV Uthappa,Keeper,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
A Nehra,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
M Kartik,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
MK Pandey,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
JD Ryder,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
AD Mathews,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
R Sharma,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
B Kumar,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
SPD Smith,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
MN Samuels,Player,Pune Warriors,Chennai Super Kings,FALSE,0,Chennai Super Kings,
V Kohli,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
Z Khan,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
SS Tiwary,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
R Vinay Kumar,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
AB de Villiers,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
CH Gayle,Player,Royal Challengers Bangalore,Kings XI Punjab,TRUE,0,Kings XI Punjab,
DL Vettori,Captain,Royal Challengers Bangalore,Kings XI Punjab,FALSE,3,Kings XI Punjab,
AB McDonald,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
KB Arun Karthik,Keeper,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
MA Agarwal,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
HV Patel,Player,Royal Challengers Bangalore,Kings XI Punjab,FALSE,0,Kings XI Punjab,
DJ Hussey,Captain,Kings XI Punjab,Royal Challengers Bangalore,FALSE,4,Kings XI Punjab,
P Kumar,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
PP Chawla,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
SE Marsh,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
PC Valthaty,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
Mandeep Singh,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
Harmeet Singh,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
N Saini,Keeper,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
DA Miller,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
Azhar Mahmood,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
P Awana,Player,Kings XI Punjab,Royal Challengers Bangalore,FALSE,1,Kings XI Punjab,
MS Dhoni,CaptainKeeper,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
SK Raina,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
S Badrinath,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
RA Jadeja,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
WP Saha,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
DJ Bravo,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
SB Jakati,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
R Ashwin,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
DE Bollinger,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
F du Plessis,Player,Chennai Super Kings,Rajasthan Royals,TRUE,1,Chennai Super Kings,
KMDN Kulasekara,Player,Chennai Super Kings,Rajasthan Royals,FALSE,1,Chennai Super Kings,
R Dravid,Captain,Rajasthan Royals,Chennai Super Kings,FALSE,3,Chennai Super Kings,
SK Trivedi,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
AM Rahane,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
BJ Hodge,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
SP Goswami,Keeper,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
A Singh,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
OA Shah,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
STR Binny,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
AL Menaria,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
KK Cooper,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
GB Hogg,Player,Rajasthan Royals,Chennai Super Kings,FALSE,0,Chennai Super Kings,
IK Pathan,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
V Sehwag,Captain,Delhi Daredevils,Pune Warriors,FALSE,4,Delhi Daredevils,
LRPL Taylor,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
DPMD Jayawardene,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
KP Pietersen,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
NV Ojha,Keeper,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
M Morkel,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
Y Nagar,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
UT Yadav,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
S Nadeem,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
P Negi,Player,Delhi Daredevils,Pune Warriors,FALSE,1,Delhi Daredevils,
SC Ganguly,Captain,Pune Warriors,Delhi Daredevils,TRUE,3,Delhi Daredevils,
RV Uthappa,Keeper,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
A Nehra,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
M Kartik,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
MK Pandey,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
JD Ryder,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
M Manhas,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
AD Mathews,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
R Sharma,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
AC Thomas,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
SPD Smith,Player,Pune Warriors,Delhi Daredevils,FALSE,0,Delhi Daredevils,
Harbhajan Singh,Captain,Mumbai Indians,Kings XI Punjab,FALSE,4,Mumbai Indians,
RG Sharma,Player,Mumbai Indians,Kings XI Punjab,FALSE,1,Mumbai Indians,
